"Date","GASPRICE"
1993-11-01,2.32
1993-12-01,2.09
1994-01-01,2.41
1994-02-01,2.59
1994-03-01,2.08
1994-04-01,2.04
1994-05-01,1.87
1994-06-01,1.96
1994-07-01,1.88
1994-08-01,1.59
1994-09-01,1.47
1994-10-01,1.54
1994-11-01,1.53
1994-12-01,1.69
1995-01-01,1.52
1995-02-01,1.59
1995-03-01,1.54
1995-04-01,1.63
1995-05-01,1.64
1995-06-01,1.62
1995-07-01,1.44
1995-08-01,1.56
1995-09-01,1.64
1995-10-01,1.77
1995-11-01,2.04
1995-12-01,2.71
1996-01-01,2.96
1996-02-01,4.56
1996-03-01,2.95
1996-04-01,2.23
1996-05-01,2.24
1996-06-01,2.49
1996-07-01,2.5
1996-08-01,2.04
1996-09-01,1.84
1996-10-01,2.37
1996-11-01,3.03
1996-12-01,3.82
1997-01-01,3.32
1997-02-01,2.22
1997-03-01,1.89
1997-04-01,2.03
1997-05-01,2.24
1997-06-01,2.2
1997-07-01,2.19
1997-08-01,2.48
1997-09-01,2.85
1997-10-01,3.04
1997-11-01,3.02
1997-12-01,2.33
1998-01-01,2.1
1998-02-01,2.22
1998-03-01,2.24
1998-04-01,2.43
1998-05-01,2.15
1998-06-01,2.17
1998-07-01,2.17
1998-08-01,1.85
1998-09-01,2.02
1998-10-01,1.89
1998-11-01,2.11
1998-12-01,1.73
1999-01-01,1.85
1999-02-01,1.78
1999-03-01,1.79
1999-04-01,2.15
1999-05-01,2.26
1999-06-01,2.31
1999-07-01,2.31
1999-08-01,2.79
1999-09-01,2.54
1999-10-01,2.73
1999-11-01,2.36
1999-12-01,2.36
2000-01-01,2.42
2000-02-01,2.66
2000-03-01,2.79
2000-04-01,3.04
2000-05-01,3.58
2000-06-01,4.29
2000-07-01,3.96
2000-08-01,4.41
2000-09-01,5.06
2000-10-01,5.02
2000-11-01,5.54
2000-12-01,8.95
2001-01-01,8.18
2001-02-01,5.62
2001-03-01,5.16
2001-04-01,5.17
2001-05-01,4.21
2001-06-01,3.71
2001-07-01,3.11
2001-08-01,2.96
2001-09-01,2.15
2001-10-01,2.45
2001-11-01,2.37
2001-12-01,2.42
2002-01-01,2.26
2002-02-01,2.31
2002-03-01,3.03
2002-04-01,3.43
2002-05-01,3.5
2002-06-01,3.23
2002-07-01,2.99
2002-08-01,3.09
2002-09-01,3.55
2002-10-01,4.12
2002-11-01,4.03
2002-12-01,4.75
2003-01-01,5.44
2003-02-01,7.78
2003-03-01,5.95
2003-04-01,5.28
2003-05-01,5.82
2003-06-01,5.82
2003-07-01,5.03
2003-08-01,4.97
2003-09-01,4.62
2003-10-01,4.65
2003-11-01,4.47
2003-12-01,6.15
2004-01-01,6.15
2004-02-01,5.39
2004-03-01,5.38
2004-04-01,5.71
2004-05-01,6.29
2004-06-01,6.3
2004-07-01,5.93
2004-08-01,5.44
2004-09-01,5.11
2004-10-01,6.39
2004-11-01,6.16
2004-12-01,6.62
2005-01-01,6.13
2005-02-01,6.13
2005-03-01,6.92
2005-04-01,7.2
2005-05-01,6.49
2005-06-01,7.16
2005-07-01,7.64
2005-08-01,9.46
2005-09-01,11.88
2005-10-01,13.42
2005-11-01,10.28
2005-12-01,13.05
2006-01-01,8.68
2006-02-01,7.54
2006-03-01,6.89
2006-04-01,7.16
2006-05-01,6.24
2006-06-01,6.22
2006-07-01,6.15
2006-08-01,7.15
2006-09-01,4.91
2006-10-01,5.77
2006-11-01,7.4
2006-12-01,6.82
2007-01-01,6.55
2007-02-01,7.98
2007-03-01,7.1
2007-04-01,7.59
2007-05-01,7.63
2007-06-01,7.36
2007-07-01,6.21
2007-08-01,6.23
2007-09-01,6.08
2007-10-01,6.8
2007-11-01,7.14
2007-12-01,7.14
2008-01-01,7.98
2008-02-01,8.55
2008-03-01,9.44
2008-04-01,10.13
2008-05-01,11.26
2008-06-01,12.69
2008-07-01,11.06
2008-08-01,8.25
2008-09-01,7.67
2008-10-01,6.73
2008-11-01,6.69
2008-12-01,5.81
2009-01-01,5.23
2009-02-01,4.52
2009-03-01,3.94
2009-04-01,3.5
2009-05-01,3.83
2009-06-01,3.81
2009-07-01,3.39
2009-08-01,3.15
2009-09-01,3.01
2009-10-01,4.02
2009-11-01,3.7
2009-12-01,5.33
2010-01-01,5.81
2010-02-01,5.33
2010-03-01,4.29
2010-04-01,4.03
2010-05-01,4.15
2010-06-01,4.81
2010-07-01,4.62
2010-08-01,4.31
2010-09-01,3.9
2010-10-01,3.43
2010-11-01,3.73
2010-12-01,4.24
2011-01-01,4.49
2011-02-01,4.09
2011-03-01,3.97
2011-04-01,4.24
2011-05-01,4.3
2011-06-01,4.53
2011-07-01,4.42
2011-08-01,4.05
2011-09-01,3.89
2011-10-01,3.57
2011-11-01,3.24
2011-12-01,3.16
2012-01-01,2.67
2012-02-01,2.51
2012-03-01,2.16
2012-04-01,1.95
2012-05-01,2.43
2012-06-01,2.46
2012-07-01,2.96
2012-08-01,2.84
2012-09-01,2.85
2012-10-01,3.31
2012-11-01,3.55
2012-12-01,3.34
2013-01-01,3.33
2013-02-01,3.34
2013-03-01,3.82
2013-04-01,4.17
2013-05-01,4.04
2013-06-01,3.82
2013-07-01,3.63
2013-08-01,3.43
2013-09-01,3.62
2013-10-01,3.66
2013-11-01,3.62
2013-12-01,4.24
2014-01-01,4.69
2014-02-01,6.01
