"Date","PPIDTS"
2009-11-01,100
2009-12-01,99.6
2010-01-01,100.6
2010-02-01,101.2
2010-03-01,101.7
2010-04-01,101.9
2010-05-01,102.4
2010-06-01,101.7
2010-07-01,101.2
2010-08-01,101.2
2010-09-01,102.2
2010-10-01,102.3
2010-11-01,101.8
2010-12-01,101.7
2011-01-01,101.2
2011-02-01,102.3
2011-03-01,104.2
2011-04-01,104.1
2011-05-01,104.5
2011-06-01,104.2
2011-07-01,103.7
2011-08-01,105
2011-09-01,105.4
2011-10-01,104.7
2011-11-01,104.6
2011-12-01,104
2012-01-01,104.3
2012-02-01,105.8
2012-03-01,106.8
2012-04-01,106.9
2012-05-01,107.6
2012-06-01,107.1
2012-07-01,106.4
2012-08-01,105.4
2012-09-01,106.3
2012-10-01,107.4
2012-11-01,108.2
2012-12-01,108
2013-01-01,107.2
2013-02-01,107.4
2013-03-01,108.3
2013-04-01,108.6
2013-05-01,107
2013-06-01,107.8
2013-07-01,108.6
2013-08-01,108.3
2013-09-01,108.6
2013-10-01,109.5
2013-11-01,109.1
2013-12-01,107.6
2014-01-01,107.4
2014-02-01,108.7
2014-03-01,109.9
2014-04-01,109.4
2014-05-01,110.2
2014-06-01,109.3
2014-07-01,111.1
2014-08-01,110.5
2014-09-01,109.8
2014-10-01,112.6
2014-11-01,111.6
2014-12-01,111.9
2015-01-01,111.9
2015-02-01,110.8
2015-03-01,111.4
2015-04-01,111.4
2015-05-01,111.1
2015-06-01,111.2
2015-07-01,112
2015-08-01,111.6
2015-09-01,112
2015-10-01,112.4
2015-11-01,112
2015-12-01,111.9
2016-01-01,113.1
2016-02-01,113.4
2016-03-01,113
2016-04-01,113.2
2016-05-01,113.2
2016-06-01,113.7
2016-07-01,112.7
2016-08-01,111.9
2016-09-01,112.9
2016-10-01,113.9
2016-11-01,113.6
2016-12-01,113
2017-01-01,113.6
2017-02-01,112.9
2017-03-01,114
2017-04-01,114.5
2017-05-01,115.1
2017-06-01,114.4
2017-07-01,114.5
2017-08-01,115
2017-09-01,115.3
2017-10-01,116.9
2017-11-01,116
2017-12-01,115
2018-01-01,115.2
2018-02-01,115.8
2018-03-01,116
2018-04-01,116.5
2018-05-01,116.7
2018-06-01,117.2
2018-07-01,116.8
2018-08-01,116.4
2018-09-01,116.3
2018-10-01,118.8
2018-11-01,118.3
2018-12-01,118.6
2019-01-01,118.1
2019-02-01,118.6
2019-03-01,119.1
2019-04-01,120.3
2019-05-01,119.8
2019-06-01,119.8
2019-07-01,119.9
2019-08-01,120.9
2019-09-01,120
2019-10-01,121.4
2019-11-01,119.3
2019-12-01,119.5
2020-01-01,119.9
2020-02-01,119.4
2020-03-01,120.8
2020-04-01,122.3
2020-05-01,121.6
2020-06-01,121.2
2020-07-01,122.2
2020-08-01,122.2
2020-09-01,122
2020-10-01,124.4
2020-11-01,123
2020-12-01,121.8
2021-01-01,122.6
2021-02-01,123.5
2021-03-01,124
2021-04-01,127
2021-05-01,128.6
2021-06-01,129.4
2021-07-01,131.492
2021-08-01,134.377
2021-09-01,134.663
2021-10-01,136.069
2021-11-01,137.469
2021-12-01,139.1
2022-01-01,140.703
2022-02-01,143.702
2022-03-01,147.476
2022-04-01,148.195
2022-05-01,148.282
2022-06-01,148.506
2022-07-01,149.613
2022-08-01,151.214
2022-09-01,151.314
2022-10-01,152.263
2022-11-01,152.197
2022-12-01,151.882
2023-01-01,150.459
2023-02-01,150.825
2023-03-01,150.549
2023-04-01,151.51
2023-05-01,151.977
2023-06-01,150.454
2023-07-01,152.799
2023-08-01,153.095
2023-09-01,153.444
2023-10-01,153.605
2023-11-01,152.605
