"Date","PPIFDC"
2009-11-01,100
2009-12-01,99.9
2010-01-01,100.2
2010-02-01,100.2
2010-03-01,100
2010-04-01,100.3
2010-05-01,100.3
2010-06-01,100.2
2010-07-01,100.3
2010-08-01,100.2
2010-09-01,100.2
2010-10-01,100.6
2010-11-01,100.5
2010-12-01,100.5
2011-01-01,101
2011-02-01,101
2011-03-01,101
2011-04-01,101.8
2011-05-01,101.8
2011-06-01,101.8
2011-07-01,102.9
2011-08-01,103
2011-09-01,102.9
2011-10-01,104.3
2011-11-01,104.4
2011-12-01,104.3
2012-01-01,105
2012-02-01,105
2012-03-01,105.2
2012-04-01,105.6
2012-05-01,105.6
2012-06-01,105.6
2012-07-01,105.6
2012-08-01,105.7
2012-09-01,105.6
2012-10-01,105.8
2012-11-01,105.8
2012-12-01,105.8
2013-01-01,106.4
2013-02-01,106.4
2013-03-01,106.4
2013-04-01,106.8
2013-05-01,106.9
2013-06-01,106.9
2013-07-01,107.4
2013-08-01,107.5
2013-09-01,107.7
2013-10-01,109
2013-11-01,109.1
2013-12-01,109.2
2014-01-01,109.8
2014-02-01,109.9
2014-03-01,110
2014-04-01,110.3
2014-05-01,110.3
2014-06-01,110.4
2014-07-01,110.8
2014-08-01,110.9
2014-09-01,110.9
2014-10-01,111.4
2014-11-01,111.4
2014-12-01,111.6
2015-01-01,112
2015-02-01,112.1
2015-03-01,112.1
2015-04-01,112.1
2015-05-01,112.2
2015-06-01,112.2
2015-07-01,112.8
2015-08-01,112.9
2015-09-01,112.9
2015-10-01,113.9
2015-11-01,113.8
2015-12-01,113.9
2016-01-01,113.4
2016-02-01,113.4
2016-03-01,113.3
2016-04-01,114.4
2016-05-01,114.4
2016-06-01,114.4
2016-07-01,113.6
2016-08-01,113.7
2016-09-01,113.7
2016-10-01,114.6
2016-11-01,114.6
2016-12-01,114.5
2017-01-01,114.9
2017-02-01,114.9
2017-03-01,115
2017-04-01,115.5
2017-05-01,115.7
2017-06-01,115.8
2017-07-01,117.3
2017-08-01,117.4
2017-09-01,117.3
2017-10-01,118
2017-11-01,117.9
2017-12-01,118
2018-01-01,119
2018-02-01,119
2018-03-01,119.1
2018-04-01,120.4
2018-05-01,120.5
2018-06-01,120.7
2018-07-01,121.2
2018-08-01,121.4
2018-09-01,121.4
2018-10-01,123.8
2018-11-01,124
2018-12-01,124.1
2019-01-01,125
2019-02-01,125
2019-03-01,125.2
2019-04-01,126.9
2019-05-01,127.1
2019-06-01,127.1
2019-07-01,128
2019-08-01,128.1
2019-09-01,128.2
2019-10-01,128.6
2019-11-01,128.7
2019-12-01,128.9
2020-01-01,129.6
2020-02-01,129.7
2020-03-01,129.6
2020-04-01,130.3
2020-05-01,130.2
2020-06-01,130.1
2020-07-01,130.8
2020-08-01,130.5
2020-09-01,130.4
2020-10-01,130.2
2020-11-01,130.4
2020-12-01,130.4
2021-01-01,130.7
2021-02-01,130.9
2021-03-01,131.4
2021-04-01,133.1
2021-05-01,133.9
2021-06-01,134.2
2021-07-01,136.527
2021-08-01,137.013
2021-09-01,137.35
2021-10-01,145.511
2021-11-01,146.017
2021-12-01,146.271
2022-01-01,151.198
2022-02-01,152.07
2022-03-01,153.013
2022-04-01,158.554
2022-05-01,159.199
2022-06-01,160.079
2022-07-01,168.056
2022-08-01,168.309
2022-09-01,168.701
2022-10-01,173.117
2022-11-01,173.226
2022-12-01,173.293
2023-01-01,176.527
2023-02-01,176.578
2023-03-01,176.774
2023-04-01,176.464
2023-05-01,176.687
2023-06-01,176.73
2023-07-01,174.615
2023-08-01,174.791
2023-09-01,174.903
2023-10-01,174.211
2023-11-01,173.906
