"Date","WPS03THRU15"
1967-01-01,31.8
1967-02-01,31.9
1967-03-01,31.9
1967-04-01,31.9
1967-05-01,31.9
1967-06-01,31.9
1967-07-01,32
1967-08-01,32.1
1967-09-01,32.1
1967-10-01,32.2
1967-11-01,32.3
1967-12-01,32.4
1968-01-01,32.5
1968-02-01,32.6
1968-03-01,32.7
1968-04-01,32.7
1968-05-01,32.7
1968-06-01,32.8
1968-07-01,32.9
1968-08-01,32.9
1968-09-01,32.9
1968-10-01,33.1
1968-11-01,33.1
1968-12-01,33.3
1969-01-01,33.4
1969-02-01,33.5
1969-03-01,33.7
1969-04-01,33.7
1969-05-01,33.7
1969-06-01,33.8
1969-07-01,33.9
1969-08-01,34
1969-09-01,34.1
1969-10-01,34.3
1969-11-01,34.4
1969-12-01,34.6
1970-01-01,34.7
1970-02-01,34.7
1970-03-01,34.8
1970-04-01,34.9
1970-05-01,35
1970-06-01,35.1
1970-07-01,35.2
1970-08-01,35.3
1970-09-01,35.4
1970-10-01,35.6
1970-11-01,35.7
1970-12-01,35.8
1971-01-01,36
1971-02-01,36
1971-03-01,36.1
1971-04-01,36.2
1971-05-01,36.3
1971-06-01,36.4
1971-07-01,36.6
1971-08-01,36.9
1971-09-01,36.9
1971-10-01,36.9
1971-11-01,36.9
1971-12-01,37.1
1972-01-01,37.2
1972-02-01,37.3
1972-03-01,37.4
1972-04-01,37.5
1972-05-01,37.5
1972-06-01,37.7
1972-07-01,37.8
1972-08-01,37.9
1972-09-01,38
1972-10-01,38.1
1972-11-01,38.3
1972-12-01,38.4
1973-01-01,38.5
1973-02-01,38.9
1973-03-01,39.3
1973-04-01,39.7
1973-05-01,40
1973-06-01,40.2
1973-07-01,40.3
1973-08-01,40.5
1973-09-01,40.8
1973-10-01,41.1
1973-11-01,41.8
1973-12-01,42.5
1974-01-01,43.5
1974-02-01,44.3
1974-03-01,45.6
1974-04-01,46.8
1974-05-01,48
1974-06-01,49
1974-07-01,50.4
1974-08-01,51.6
1974-09-01,52.1
1974-10-01,52.8
1974-11-01,53.2
1974-12-01,53.3
