"Date","WPSID612"
1973-01-01,44.1
1973-02-01,44.7
1973-03-01,45.6
1973-04-01,46.3
1973-05-01,46.8
1973-06-01,46.7
1973-07-01,46.3
1973-08-01,46.5
1973-09-01,47
1973-10-01,47.4
1973-11-01,48.3
1973-12-01,48.9
1974-01-01,49.7
1974-02-01,50.3
1974-03-01,51.4
1974-04-01,52.7
1974-05-01,54.2
1974-06-01,55.2
1974-07-01,56.4
1974-08-01,57.4
1974-09-01,58
1974-10-01,58
1974-11-01,58.3
1974-12-01,58.6
1975-01-01,58.9
1975-02-01,59.2
1975-03-01,59.2
1975-04-01,59.3
1975-05-01,59.6
1975-06-01,60
1975-07-01,60
1975-08-01,60.1
1975-09-01,60.3
1975-10-01,61
1975-11-01,61.2
1975-12-01,61.9
1976-01-01,62.1
1976-02-01,62.3
1976-03-01,62.9
1976-04-01,63.1
1976-05-01,63.5
1976-06-01,63.7
1976-07-01,64.1
1976-08-01,64.5
1976-09-01,65.1
1976-10-01,65.6
1976-11-01,66.1
1976-12-01,66.7
1977-01-01,66.8
1977-02-01,66.7
1977-03-01,67.3
1977-04-01,67.7
1977-05-01,68.2
1977-06-01,68.7
1977-07-01,69.5
1977-08-01,70.1
1977-09-01,71.1
1977-10-01,71.3
1977-11-01,71.5
1977-12-01,72.1
1978-01-01,72.8
1978-02-01,73.7
1978-03-01,74.2
1978-04-01,74.9
1978-05-01,75.6
1978-06-01,76.4
1978-07-01,76.8
1978-08-01,77.5
1978-09-01,77.9
1978-10-01,78.6
1978-11-01,79.6
1978-12-01,79.8
1979-01-01,80.9
1979-02-01,81.4
1979-03-01,82.1
1979-04-01,82.9
1979-05-01,83.4
1979-06-01,83.7
1979-07-01,84.2
1979-08-01,84.8
1979-09-01,86
1979-10-01,87.1
1979-11-01,87.1
1979-12-01,87.1
1980-01-01,88.1
1980-02-01,89.2
1980-03-01,90.3
1980-04-01,89.8
1980-05-01,89.9
1980-06-01,90.7
1980-07-01,91.6
1980-08-01,92.2
1980-09-01,92.6
1980-10-01,93.1
1980-11-01,93.9
1980-12-01,94.8
1981-01-01,95.4
1981-02-01,95.2
1981-03-01,96
1981-04-01,97.6
1981-05-01,97.9
1981-06-01,98.4
1981-07-01,98.7
1981-08-01,98.8
1981-09-01,98.8
1981-10-01,99.2
1981-11-01,99.4
1981-12-01,99.6
1982-01-01,99.7
1982-02-01,99.6
1982-03-01,99.7
1982-04-01,99.6
1982-05-01,99.7
1982-06-01,100.1
1982-07-01,100
1982-08-01,99.7
1982-09-01,100.4
1982-10-01,100.4
1982-11-01,100.6
1982-12-01,100.7
1983-01-01,101.2
1983-02-01,101.6
1983-03-01,101.9
1983-04-01,102
1983-05-01,102.3
1983-06-01,102.6
1983-07-01,102.9
1983-08-01,103.2
1983-09-01,103.4
1983-10-01,103.7
1983-11-01,104
1983-12-01,104.2
1984-01-01,104.2
1984-02-01,104.8
1984-03-01,105.3
1984-04-01,105.4
1984-05-01,105.3
1984-06-01,105.4
1984-07-01,105.7
1984-08-01,106
1984-09-01,106.2
1984-10-01,106.4
1984-11-01,106.5
1984-12-01,106.7
1985-01-01,106.8
1985-02-01,106.7
1985-03-01,106.6
1985-04-01,106.6
1985-05-01,107.4
1985-06-01,107.9
1985-07-01,107.7
1985-08-01,107.7
1985-09-01,107.5
1985-10-01,107.6
1985-11-01,107.6
1985-12-01,107.8
1986-01-01,107.8
1986-02-01,107.9
1986-03-01,107.8
1986-04-01,108.2
1986-05-01,108.2
1986-06-01,108.1
1986-07-01,108
1986-08-01,108
1986-09-01,108.2
1986-10-01,108.2
1986-11-01,108.3
1986-12-01,108.1
1987-01-01,108.1
1987-02-01,108.3
1987-03-01,108.4
1987-04-01,108.5
1987-05-01,108.7
1987-06-01,109.2
1987-07-01,109.7
1987-08-01,110.2
1987-09-01,110.8
1987-10-01,111.3
1987-11-01,112
1987-12-01,112.6
1988-01-01,113.7
1988-02-01,113.9
1988-03-01,114.3
1988-04-01,114.8
1988-05-01,115.2
1988-06-01,115.7
1988-07-01,116.4
1988-08-01,116.7
1988-09-01,117.1
1988-10-01,117.7
1988-11-01,118.3
1988-12-01,118.9
1989-01-01,119.5
1989-02-01,120
1989-03-01,120.4
1989-04-01,120.7
1989-05-01,121.1
1989-06-01,121.4
1989-07-01,121.5
1989-08-01,121.7
1989-09-01,122
1989-10-01,122.5
1989-11-01,122.3
1989-12-01,122.1
1990-01-01,121.9
1990-02-01,121.9
1990-03-01,122.4
1990-04-01,122.9
1990-05-01,123
1990-06-01,122.7
1990-07-01,122.9
1990-08-01,123
1990-09-01,123.4
1990-10-01,123.5
1990-11-01,123.6
1990-12-01,123.7
1991-01-01,124
1991-02-01,123.8
1991-03-01,123.9
1991-04-01,124.2
1991-05-01,124.4
1991-06-01,125.1
1991-07-01,125.3
1991-08-01,124.7
1991-09-01,124.8
1991-10-01,124.6
1991-11-01,124.5
1991-12-01,124.6
1992-01-01,124.9
1992-02-01,125.8
1992-03-01,126.5
1992-04-01,126.6
1992-05-01,126.6
1992-06-01,126.3
1992-07-01,126.3
1992-08-01,126.4
1992-09-01,126.9
1992-10-01,126.9
1992-11-01,127.1
1992-12-01,127.9
1993-01-01,129.1
1993-02-01,130.8
1993-03-01,132.4
1993-04-01,132.7
1993-05-01,131.9
1993-06-01,131.3
1993-07-01,131.1
1993-08-01,131.6
1993-09-01,132.4
1993-10-01,132.6
1993-11-01,133.4
1993-12-01,134.3
1994-01-01,135.1
1994-02-01,135.1
1994-03-01,135.5
1994-04-01,135
1994-05-01,135.2
1994-06-01,136.2
1994-07-01,136.2
1994-08-01,136.7
1994-09-01,137.5
1994-10-01,138.1
1994-11-01,139.2
1994-12-01,139.5
1995-01-01,140.6
1995-02-01,141
1995-03-01,141.7
1995-04-01,142.2
1995-05-01,142.1
1995-06-01,142
1995-07-01,142.6
1995-08-01,142.9
1995-09-01,143.1
1995-10-01,142.8
1995-11-01,142.4
1995-12-01,142.2
1996-01-01,142
1996-02-01,142.1
1996-03-01,142.3
1996-04-01,142.4
1996-05-01,143.4
1996-06-01,143.9
1996-07-01,143.6
1996-08-01,144
1996-09-01,144.7
1996-10-01,144.3
1996-11-01,145
1996-12-01,144.9
1997-01-01,145.1
1997-02-01,145.8
1997-03-01,146.3
1997-04-01,146.7
1997-05-01,147.1
1997-06-01,146.9
1997-07-01,147.1
1997-08-01,147.1
1997-09-01,146.8
1997-10-01,146.5
1997-11-01,146.7
1997-12-01,146.6
1998-01-01,146.6
1998-02-01,146.6
1998-03-01,146.7
1998-04-01,146.8
1998-05-01,146.6
1998-06-01,146.5
1998-07-01,146.8
1998-08-01,147.2
1998-09-01,147.3
1998-10-01,147
1998-11-01,146.9
1998-12-01,146.9
1999-01-01,147.2
1999-02-01,147.4
1999-03-01,147.7
1999-04-01,147.8
1999-05-01,148.2
1999-06-01,149.2
1999-07-01,150.1
1999-08-01,150.2
1999-09-01,149.6
1999-10-01,149.4
1999-11-01,149.8
1999-12-01,150.2
2000-01-01,150.7
2000-02-01,150.9
2000-03-01,151.3
2000-04-01,151.3
2000-05-01,150.7
2000-06-01,151
2000-07-01,150.6
2000-08-01,150.3
2000-09-01,150.3
2000-10-01,150.5
2000-11-01,150.4
2000-12-01,150.2
2001-01-01,149.8
2001-02-01,150.1
2001-03-01,150.2
2001-04-01,150.2
2001-05-01,151.3
2001-06-01,151.5
2001-07-01,150.9
2001-08-01,150.9
2001-09-01,150.9
2001-10-01,150.4
2001-11-01,150.5
2001-12-01,150.2
2002-01-01,150.3
2002-02-01,150.3
2002-03-01,150.6
2002-04-01,150.9
2002-05-01,151.1
2002-06-01,151.4
2002-07-01,151.5
2002-08-01,152
2002-09-01,152.1
2002-10-01,151.9
2002-11-01,151.5
2002-12-01,151.4
2003-01-01,151.6
2003-02-01,152.1
2003-03-01,152.3
2003-04-01,152.7
2003-05-01,152.7
2003-06-01,152.8
2003-07-01,153.4
2003-08-01,153.6
2003-09-01,154.9
2003-10-01,155.4
2003-11-01,155.9
2003-12-01,155.9
2004-01-01,156.4
2004-02-01,159.2
2004-03-01,162
2004-04-01,164.7
2004-05-01,166.9
2004-06-01,167
2004-07-01,167.4
2004-08-01,169.9
2004-09-01,171
2004-10-01,171.1
2004-11-01,170.9
2004-12-01,171.6
2005-01-01,173.3
2005-02-01,174.8
2005-03-01,175.1
2005-04-01,175.4
2005-05-01,175
2005-06-01,175.5
2005-07-01,175.7
2005-08-01,175.5
2005-09-01,177.1
2005-10-01,179.4
2005-11-01,181.1
2005-12-01,182.1
2006-01-01,184.5
2006-02-01,185.1
2006-03-01,185.5
2006-04-01,186.6
2006-05-01,188.1
2006-06-01,189.2
2006-07-01,190.1
2006-08-01,190.8
2006-09-01,191.1
2006-10-01,190.8
2006-11-01,190.1
2006-12-01,190.3
2007-01-01,190.6
2007-02-01,190.7
2007-03-01,191.3
2007-04-01,192
2007-05-01,192.7
2007-06-01,193.1
2007-07-01,193.4
2007-08-01,193.5
2007-09-01,193.3
2007-10-01,193.5
2007-11-01,193.7
2007-12-01,194
2008-01-01,194.8
2008-02-01,196
2008-03-01,197.4
2008-04-01,200.2
2008-05-01,203.2
2008-06-01,206.3
2008-07-01,209.6
2008-08-01,212.7
2008-09-01,214
2008-10-01,212.5
2008-11-01,210.6
2008-12-01,208.5
2009-01-01,207.3
2009-02-01,205.1
2009-03-01,204.4
2009-04-01,203.1
2009-05-01,202.6
2009-06-01,201.8
2009-07-01,201.6
2009-08-01,201.2
2009-09-01,201.9
2009-10-01,202.1
2009-11-01,202
2009-12-01,202.3
2010-01-01,202.6
2010-02-01,203.8
2010-03-01,204.6
2010-04-01,205.9
2010-05-01,207.1
2010-06-01,206.3
2010-07-01,206
2010-08-01,206
2010-09-01,205.9
2010-10-01,206.1
2010-11-01,206.7
2010-12-01,207.3
2011-01-01,208.5
2011-02-01,209.6
2011-03-01,210.8
2011-04-01,212
2011-05-01,212.6
2011-06-01,213.5
2011-07-01,214.5
2011-08-01,214.5
2011-09-01,214.5
2011-10-01,214.5
2011-11-01,214.5
2011-12-01,214.5
2012-01-01,215.7
2012-02-01,216.9
2012-03-01,217.1
2012-04-01,217.9
2012-05-01,218.6
2012-06-01,218.7
2012-07-01,218.2
2012-08-01,218.6
2012-09-01,219.3
2012-10-01,219.5
2012-11-01,220.1
2012-12-01,220.6
2013-01-01,221.4
2013-02-01,222
2013-03-01,222.2
2013-04-01,222.9
2013-05-01,222.6
2013-06-01,222.3
2013-07-01,222.3
2013-08-01,223
2013-09-01,223.2
2013-10-01,223.3
2013-11-01,223.4
2013-12-01,223.7
2014-01-01,225
2014-02-01,225.5
2014-03-01,226.2
2014-04-01,226.4
2014-05-01,226.9
2014-06-01,227.1
2014-07-01,227.6
2014-08-01,228.2
2014-09-01,228.7
2014-10-01,229
2014-11-01,228.9
2014-12-01,229.1
2015-01-01,229.2
2015-02-01,228.9
2015-03-01,228.9
2015-04-01,228.9
2015-05-01,228.7
2015-06-01,228.8
2015-07-01,228.6
2015-08-01,228
2015-09-01,227.7
2015-10-01,228.1
2015-11-01,228.1
2015-12-01,227.7
2016-01-01,227.5
2016-02-01,227.3
2016-03-01,227.6
2016-04-01,227.9
2016-05-01,228.4
2016-06-01,229
2016-07-01,229.5
2016-08-01,230.2
2016-09-01,230.1
2016-10-01,230.1
2016-11-01,230.2
2016-12-01,230.7
2017-01-01,231.4
2017-02-01,232.2
2017-03-01,232.9
2017-04-01,234
2017-05-01,234.3
2017-06-01,234.6
2017-07-01,234.6
2017-08-01,235.6
2017-09-01,236.2
2017-10-01,237.4
2017-11-01,238.2
2017-12-01,238.3
2018-01-01,239.6
2018-02-01,240.7
2018-03-01,243.6
2018-04-01,244.9
2018-05-01,247.6
2018-06-01,248.7
2018-07-01,249.3
2018-08-01,249.2
2018-09-01,250
2018-10-01,250.3
2018-11-01,250
2018-12-01,250.7
2019-01-01,250.5
2019-02-01,251
2019-03-01,250.5
2019-04-01,251.4
2019-05-01,251.2
2019-06-01,250.9
2019-07-01,252.1
2019-08-01,251.2
2019-09-01,251.4
2019-10-01,251.5
2019-11-01,251.7
2019-12-01,251.9
2020-01-01,251.9
2020-02-01,252.3
2020-03-01,253.5
2020-04-01,252.4
2020-05-01,252.3
2020-06-01,253.5
2020-07-01,255.1
2020-08-01,258.7
2020-09-01,263.6
2020-10-01,263.5
2020-11-01,262.5
2020-12-01,264.6
2021-01-01,268.8
2021-02-01,273.1
2021-03-01,279.3
2021-04-01,287.5
2021-05-01,297.5
2021-06-01,305.6
2021-07-01,306.395
2021-08-01,306.136
2021-09-01,307.715
2021-10-01,312.315
2021-11-01,318.133
2021-12-01,324.452
2022-01-01,334.034
2022-02-01,339.853
2022-03-01,345.953
2022-04-01,348.1
2022-05-01,350.936
2022-06-01,350.446
2022-07-01,351.338
2022-08-01,352.777
2022-09-01,351.765
2022-10-01,351.288
2022-11-01,350.202
2022-12-01,349.119
2023-01-01,349.391
2023-02-01,349.103
2023-03-01,350.455
2023-04-01,350.736
2023-05-01,349.9
2023-06-01,349.647
2023-07-01,350.81
2023-08-01,351.244
2023-09-01,352.453
2023-10-01,352.477
2023-11-01,353.068
