"Date","WPU1442"
1984-07-01,101.7
1984-08-01,102.1
1984-09-01,102
1984-10-01,102
1984-11-01,102.1
1984-12-01,102.1
1985-01-01,102.1
1985-02-01,102.2
1985-03-01,102.7
1985-04-01,102.8
1985-05-01,102.6
1985-06-01,103.3
1985-07-01,103.4
1985-08-01,103.7
1985-09-01,103.7
1985-10-01,103.5
1985-11-01,103.4
1985-12-01,103.5
1986-01-01,103.8
1986-02-01,103.5
1986-03-01,103.6
1986-04-01,103.7
1986-05-01,103
1986-06-01,103
1986-07-01,103.1
1986-08-01,103.2
1986-09-01,103.1
1986-10-01,103.1
1986-11-01,103.1
1986-12-01,103.2
1987-01-01,103.1
1987-02-01,103.5
1987-03-01,103.5
1987-04-01,103.4
1987-05-01,103.4
1987-06-01,103.2
1987-07-01,103.3
1987-08-01,103.3
1987-09-01,103.3
1987-10-01,103.1
1987-11-01,103.4
1987-12-01,103.3
1988-01-01,103.8
1988-02-01,103.8
1988-03-01,104.7
1988-04-01,105.6
1988-05-01,106.3
1988-06-01,107.6
1988-07-01,107.6
1988-08-01,108
1988-09-01,108
1988-10-01,108.1
1988-11-01,108.3
1988-12-01,109.9
1989-01-01,110
1989-02-01,110.5
1989-03-01,110.6
1989-04-01,112.9
1989-05-01,112.9
1989-06-01,112.9
1989-07-01,113.2
1989-08-01,113.2
1989-09-01,113.2
1989-10-01,113.3
1989-11-01,113.4
1989-12-01,113.4
1990-01-01,114.1
1990-02-01,115.6
1990-03-01,115.6
1990-04-01,115.6
1990-05-01,115.6
1990-06-01,116.4
1990-07-01,116.1
1990-08-01,116.2
1990-09-01,117.5
1990-10-01,117.5
1990-11-01,118.5
1990-12-01,118.5
1991-01-01,119.2
1991-02-01,119
1991-03-01,119.2
1991-04-01,119.1
1991-05-01,119.1
1991-06-01,119.1
1991-07-01,119.6
1991-08-01,119.5
1991-09-01,119.4
1991-10-01,118.8
1991-11-01,118.3
1991-12-01,118.2
1992-01-01,119.1
1992-02-01,119.7
1992-03-01,120
1992-04-01,119.8
1992-05-01,119.9
1992-06-01,119.9
1992-07-01,119.9
1992-08-01,119.5
1992-09-01,120
1992-10-01,120
1992-11-01,119.4
1992-12-01,118.5
1993-01-01,118.2
1993-02-01,119.1
1993-03-01,119.2
1993-04-01,119.5
1993-05-01,119.6
1993-06-01,119.6
1993-07-01,120.1
1993-08-01,121.5
1993-09-01,121.9
1993-10-01,121.7
1993-11-01,121.7
1993-12-01,124.8
1994-01-01,125.2
1994-02-01,125.5
1994-03-01,126.2
1994-04-01,126.1
1994-05-01,126.5
1994-06-01,126.9
1994-07-01,127.1
1994-08-01,128.2
1994-09-01,128.3
1994-10-01,128.6
1994-11-01,128.8
1994-12-01,128.9
1995-01-01,130
1995-02-01,131.7
1995-03-01,132.3
1995-04-01,134
1995-05-01,134.7
1995-06-01,135.5
1995-07-01,136
1995-08-01,136.3
1995-09-01,136.1
1995-10-01,136.9
1995-11-01,137.7
1995-12-01,138.2
1996-01-01,137.8
1996-02-01,138.4
1996-03-01,138.2
1996-04-01,138.5
1996-05-01,138.4
1996-06-01,137.6
1996-07-01,137.6
1996-08-01,137.6
1996-09-01,137.2
1996-10-01,137.2
1996-11-01,136.4
1996-12-01,136
1997-01-01,138.3
1997-02-01,137.8
1997-03-01,135.5
1997-04-01,134.8
1997-05-01,135.6
1997-06-01,136
1997-07-01,135
1997-08-01,134.8
1997-09-01,135.7
1997-10-01,136.8
1997-11-01,136.3
1997-12-01,136.4
1998-01-01,136.6
1998-02-01,136.6
1998-03-01,136.4
1998-04-01,137.6
1998-05-01,137.4
1998-06-01,137.7
1998-07-01,137.2
1998-08-01,137.3
1998-09-01,137.3
1998-10-01,136
1998-11-01,135.7
1998-12-01,136.9
1999-01-01,136
1999-02-01,136
1999-03-01,135.9
1999-04-01,135.9
1999-05-01,136
1999-06-01,138
1999-07-01,138.1
1999-08-01,137.8
1999-09-01,137.8
1999-10-01,137.6
1999-11-01,137
1999-12-01,137.2
2000-01-01,136.8
2000-02-01,136.8
2000-03-01,137.2
2000-04-01,137.5
2000-05-01,137.5
2000-06-01,137.7
2000-07-01,137.7
2000-08-01,137.8
2000-09-01,137.8
2000-10-01,137.7
2000-11-01,137.7
2000-12-01,137.7
2001-01-01,137.7
2001-02-01,137.7
2001-03-01,137.6
2001-04-01,137.7
2001-05-01,137.8
2001-06-01,137.8
2001-07-01,137.8
2001-08-01,137.9
2001-09-01,137.7
2001-10-01,137.1
2001-11-01,137.1
2001-12-01,137.7
2002-01-01,137.3
2002-02-01,137.3
2002-03-01,137.3
2002-04-01,137.1
2002-05-01,137.4
2002-06-01,137.6
2002-07-01,137
2002-08-01,136.6
2002-09-01,136.6
2002-10-01,136.6
2002-11-01,136.9
2002-12-01,136.9
2003-01-01,136.8
2003-02-01,138.5
2003-03-01,138.7
2003-04-01,139.1
2003-05-01,139.5
2003-06-01,139.5
2003-07-01,140.2
2003-08-01,140.3
2003-09-01,141
2003-10-01,141.6
2003-11-01,142.4
2003-12-01,142.4
2004-01-01,144.5
2004-02-01,147.9
2004-03-01,150.1
2004-04-01,151.9
2004-05-01,152.1
2004-06-01,152.1
2004-07-01,152.1
2004-08-01,152.7
2004-09-01,152.8
2004-10-01,153.3
2004-11-01,154.4
2004-12-01,166.5
2005-01-01,167.3
2005-02-01,170.7
2005-03-01,171.4
2005-04-01,171.6
2005-05-01,171.7
2005-06-01,171.8
2005-07-01,171.8
2005-08-01,171.8
2005-09-01,171.7
2005-10-01,171.9
2005-11-01,171.8
2005-12-01,173.6
2006-01-01,174.2
2006-02-01,174.8
2006-03-01,179.5
2006-04-01,179.7
2006-05-01,180
2006-06-01,182.6
2006-07-01,182.7
2006-08-01,183.2
2006-09-01,183.1
2006-10-01,183.1
2006-11-01,183.1
2006-12-01,187.5
2007-01-01,189.4
2007-02-01,189.3
2007-03-01,190.3
2007-04-01,190.3
2007-05-01,190.1
2007-06-01,190.2
2007-07-01,192.2
2007-08-01,192.2
2007-09-01,191.8
2007-10-01,191.8
2007-11-01,191.3
2007-12-01,191.7
2008-01-01,193.1
2008-02-01,193.6
2008-03-01,193.5
2008-04-01,193.5
2008-05-01,193.9
2008-06-01,196.7
2008-07-01,197.1
2008-08-01,197.5
2008-09-01,197.5
2008-10-01,196.9
2008-11-01,196.7
2008-12-01,196.3
2009-01-01,196.2
2009-02-01,196.3
2009-03-01,195.9
2009-04-01,196
2009-05-01,193.1
2009-06-01,193.1
2009-07-01,192.9
2009-08-01,192.9
2009-09-01,199.5
2009-10-01,199.2
2009-11-01,199.2
2009-12-01,199.3
2010-01-01,199.6
2010-02-01,199.6
2010-03-01,199.3
2010-04-01,199.2
2010-05-01,199.4
2010-06-01,199.4
2010-07-01,199.2
2010-08-01,199.2
2010-09-01,199.3
2010-10-01,198.7
2010-11-01,198.7
2010-12-01,198.7
2011-01-01,199.9
2011-02-01,200.2
2011-03-01,203.4
2011-04-01,202.7
2011-05-01,202.9
2011-06-01,203
2011-07-01,203.9
2011-08-01,204.1
2011-09-01,204.2
2011-10-01,204.2
2011-11-01,204.5
2011-12-01,208.3
2012-01-01,208.7
2012-02-01,208.7
2012-03-01,208.6
2012-04-01,208.8
2012-05-01,208.7
2012-06-01,208.3
2012-07-01,209
2012-08-01,208.9
2012-09-01,208.9
2012-10-01,215.9
2012-11-01,214.4
2012-12-01,214.4
2013-01-01,215.2
2013-02-01,215.2
2013-03-01,215
2013-04-01,213.8
2013-05-01,214.8
2013-06-01,215.1
2013-07-01,213.8
2013-08-01,213.2
2013-09-01,213.8
2013-10-01,213.7
2013-11-01,213.7
2013-12-01,213.7
2014-01-01,213.6
2014-02-01,213.7
2014-03-01,213.8
2014-04-01,213.6
2014-05-01,213.6
2014-06-01,213.8
2014-07-01,214
2014-08-01,214.2
2014-09-01,214.3
2014-10-01,219
2014-11-01,220.3
2014-12-01,220.4
2015-01-01,221
2015-02-01,221.2
2015-03-01,221.1
2015-04-01,221.1
