"Date","WPUFD4131"
1973-01-01,47.2
1973-02-01,47.4
1973-03-01,47.5
1973-04-01,47.8
1973-05-01,48
1973-06-01,48.1
1973-07-01,48.1
1973-08-01,48.2
1973-09-01,48.2
1973-10-01,48.6
1973-11-01,48.9
1973-12-01,49.2
1974-01-01,49.8
1974-02-01,50.1
1974-03-01,50.6
1974-04-01,51.2
1974-05-01,52.2
1974-06-01,53.1
1974-07-01,53.9
1974-08-01,54.8
1974-09-01,55.5
1974-10-01,56.8
1974-11-01,57.5
1974-12-01,57.9
1975-01-01,58.5
1975-02-01,58.7
1975-03-01,59
1975-04-01,59.3
1975-05-01,59.3
1975-06-01,59.4
1975-07-01,59.6
1975-08-01,59.7
1975-09-01,59.9
1975-10-01,60.8
1975-11-01,61.1
1975-12-01,61.4
1976-01-01,61.9
1976-02-01,62.1
1976-03-01,62.2
1976-04-01,62.4
1976-05-01,62.5
1976-06-01,62.8
1976-07-01,62.9
1976-08-01,63.1
1976-09-01,63.4
1976-10-01,64.4
1976-11-01,64.6
1976-12-01,64.9
1977-01-01,65.4
1977-02-01,65.6
1977-03-01,65.8
1977-04-01,66.1
1977-05-01,66.3
1977-06-01,66.5
1977-07-01,66.7
1977-08-01,67
1977-09-01,67.3
1977-10-01,68.5
1977-11-01,68.7
1977-12-01,68.9
1978-01-01,69.5
1978-02-01,69.7
1978-03-01,70
1978-04-01,70.7
1978-05-01,71.3
1978-06-01,71.6
1978-07-01,72.2
1978-08-01,72.5
1978-09-01,72.8
1978-10-01,73.8
1978-11-01,74.1
1978-12-01,74.7
1979-01-01,75.6
1979-02-01,76.1
1979-03-01,76.4
1979-04-01,77.1
1979-05-01,77.5
1979-06-01,77.9
1979-07-01,78.4
1979-08-01,78.4
1979-09-01,79
1979-10-01,80.7
1979-11-01,81.1
1979-12-01,81.7
1980-01-01,83.6
1980-02-01,84.5
1980-03-01,84.7
1980-04-01,85.7
1980-05-01,85.9
1980-06-01,86.5
1980-07-01,87.6
1980-08-01,88
1980-09-01,87.8
1980-10-01,90
1980-11-01,90.2
1980-12-01,90.5
1981-01-01,91.8
1981-02-01,92.3
1981-03-01,92.6
1981-04-01,93.7
1981-05-01,94.1
1981-06-01,94.4
1981-07-01,94.8
1981-08-01,95
1981-09-01,94.9
1981-10-01,96.8
1981-11-01,97.2
1981-12-01,97.5
1982-01-01,98.4
1982-02-01,98.4
1982-03-01,98.6
1982-04-01,99.1
1982-05-01,99.5
1982-06-01,99.8
1982-07-01,100.1
1982-08-01,100.4
1982-09-01,99.7
1982-10-01,101.7
1982-11-01,101.9
1982-12-01,102.3
1983-01-01,102.1
1983-02-01,102.4
1983-03-01,102.3
1983-04-01,102.6
1983-05-01,102.7
1983-06-01,102.8
1983-07-01,103.2
1983-08-01,103.4
1983-09-01,102.5
1983-10-01,104
1983-11-01,104.1
1983-12-01,104.2
1984-01-01,104.7
1984-02-01,104.9
1984-03-01,105
1984-04-01,105.4
1984-05-01,105.5
1984-06-01,105.4
1984-07-01,105.8
1984-08-01,105.8
1984-09-01,105.1
1984-10-01,106.2
1984-11-01,106.5
1984-12-01,106.3
1985-01-01,107
1985-02-01,107.5
1985-03-01,107.5
1985-04-01,107.7
1985-05-01,107.9
1985-06-01,108.1
1985-07-01,108.4
1985-08-01,108.4
1985-09-01,106.9
1985-10-01,109.3
1985-11-01,109.3
1985-12-01,109.2
1986-01-01,109.5
1986-02-01,109.7
1986-03-01,109.7
1986-04-01,110.2
1986-05-01,110.2
1986-06-01,110.4
1986-07-01,110.7
1986-08-01,110.6
1986-09-01,109.8
1986-10-01,112.2
1986-11-01,112.3
1986-12-01,112.1
1987-01-01,112.6
1987-02-01,112.4
1987-03-01,112.5
1987-04-01,112.9
1987-05-01,113
1987-06-01,112.9
1987-07-01,113.3
1987-08-01,113.4
1987-09-01,113.1
1987-10-01,114.5
1987-11-01,114.5
1987-12-01,114.5
1988-01-01,115.2
1988-02-01,115.5
1988-03-01,115.7
1988-04-01,115.9
1988-05-01,116.2
1988-06-01,116.4
1988-07-01,117.1
1988-08-01,117.4
1988-09-01,117.2
1988-10-01,118.8
1988-11-01,118.9
1988-12-01,119.4
1989-01-01,120.1
1989-02-01,120.7
1989-03-01,120.7
1989-04-01,120.8
1989-05-01,121.4
1989-06-01,122.1
1989-07-01,122.1
1989-08-01,122.4
1989-09-01,122.3
1989-10-01,123.9
1989-11-01,124
1989-12-01,124.4
1990-01-01,124.8
1990-02-01,125.2
1990-03-01,125.4
1990-04-01,125.6
1990-05-01,125.9
1990-06-01,126.4
1990-07-01,126.7
1990-08-01,126.7
1990-09-01,126.7
1990-10-01,128.2
1990-11-01,128.5
1990-12-01,128.8
1991-01-01,129.9
1991-02-01,130.2
1991-03-01,130.3
1991-04-01,130.5
1991-05-01,130.5
1991-06-01,130.8
1991-07-01,131
1991-08-01,131
1991-09-01,130.7
1991-10-01,132.4
1991-11-01,132.5
1991-12-01,132.8
1992-01-01,133.4
1992-02-01,133.5
1992-03-01,133.7
1992-04-01,134
1992-05-01,134.2
1992-06-01,134.1
1992-07-01,134.2
1992-08-01,133.8
1992-09-01,133.2
1992-10-01,135.2
1992-11-01,135.2
1992-12-01,135.4
1993-01-01,135.9
1993-02-01,136.2
1993-03-01,136.3
1993-04-01,136.7
1993-05-01,136.6
1993-06-01,136.3
1993-07-01,136.4
1993-08-01,134.6
1993-09-01,133.7
1993-10-01,135.4
1993-11-01,135.6
