"Date","WPUID53"
2009-11-01,100
2009-12-01,100.5
2010-01-01,102.2
2010-02-01,102.2
2010-03-01,102.9
2010-04-01,103.9
2010-05-01,104.8
2010-06-01,104.2
2010-07-01,104.6
2010-08-01,104.8
2010-09-01,104.9
2010-10-01,105.2
2010-11-01,105.3
2010-12-01,105.6
2011-01-01,107.3
2011-02-01,109.3
2011-03-01,110.8
2011-04-01,112.4
2011-05-01,112.7
2011-06-01,113.3
2011-07-01,113.3
2011-08-01,113.3
2011-09-01,112.8
2011-10-01,111.7
2011-11-01,111.8
2011-12-01,111.3
2012-01-01,111.9
2012-02-01,112.3
2012-03-01,113.2
2012-04-01,112.8
2012-05-01,112.5
2012-06-01,112.2
2012-07-01,111.8
2012-08-01,112.6
2012-09-01,113.2
2012-10-01,113.5
2012-11-01,113.3
2012-12-01,113
2013-01-01,113.5
2013-02-01,114.3
2013-03-01,114.1
2013-04-01,114.3
2013-05-01,114.5
2013-06-01,114.6
2013-07-01,114
2013-08-01,114.1
2013-09-01,114
2013-10-01,113.8
2013-11-01,113.7
2013-12-01,113.6
2014-01-01,115.1
2014-02-01,115.9
2014-03-01,117.5
2014-04-01,118
2014-05-01,117.7
2014-06-01,117.7
2014-07-01,118.1
2014-08-01,117.6
2014-09-01,117.8
2014-10-01,117
2014-11-01,116.3
2014-12-01,113.8
2015-01-01,111.1
2015-02-01,110.1
2015-03-01,111.1
2015-04-01,111
2015-05-01,112.8
2015-06-01,113.1
2015-07-01,112.5
2015-08-01,111.8
2015-09-01,109.6
2015-10-01,108.5
2015-11-01,107.6
2015-12-01,106.2
2016-01-01,106.7
2016-02-01,106
2016-03-01,106.5
2016-04-01,106.7
2016-05-01,107.4
2016-06-01,108.5
2016-07-01,108.6
2016-08-01,107.7
2016-09-01,107.4
2016-10-01,106.6
2016-11-01,107.4
2016-12-01,108.3
2017-01-01,109.7
2017-02-01,110.6
2017-03-01,111.1
2017-04-01,111.4
2017-05-01,111.8
2017-06-01,112.4
2017-07-01,112.2
2017-08-01,112.1
2017-09-01,112.3
2017-10-01,112.5
2017-11-01,113.5
2017-12-01,113.5
2018-01-01,114.4
2018-02-01,115.4
2018-03-01,115.7
2018-04-01,116.1
2018-05-01,117.7
2018-06-01,118.5
2018-07-01,118.4
2018-08-01,117.3
2018-09-01,117.5
2018-10-01,118.7
2018-11-01,117.6
2018-12-01,115.8
2019-01-01,116
2019-02-01,116.2
2019-03-01,117.3
2019-04-01,118.9
2019-05-01,118.9
2019-06-01,117.9
2019-07-01,117.7
2019-08-01,117.3
2019-09-01,116.4
2019-10-01,116.8
2019-11-01,116.7
2019-12-01,116.7
2020-01-01,117.2
2020-02-01,115.6
2020-03-01,114
2020-04-01,107.9
2020-05-01,109.3
2020-06-01,111.2
2020-07-01,112.4
2020-08-01,113.1
2020-09-01,113.6
2020-10-01,114.9
2020-11-01,115.7
2020-12-01,116.6
2021-01-01,119.4
2021-02-01,122
2021-03-01,125.1
2021-04-01,128.6
2021-05-01,132.1
2021-06-01,134.3
2021-07-01,135.309
2021-08-01,136.229
2021-09-01,137.026
2021-10-01,138.774
2021-11-01,140.015
2021-12-01,140.824
2022-01-01,143.433
2022-02-01,145.324
2022-03-01,150.181
2022-04-01,154.035
2022-05-01,157.394
2022-06-01,158.227
2022-07-01,155.712
2022-08-01,152.683
2022-09-01,151.766
2022-10-01,151.999
2022-11-01,151.325
2022-12-01,148.023
2023-01-01,148.959
2023-02-01,148.776
2023-03-01,148.101
2023-04-01,148.158
2023-05-01,146.471
2023-06-01,146.355
2023-07-01,145.392
2023-08-01,146.415
2023-09-01,146.457
2023-10-01,145.769
2023-11-01,145.731
