"Date","WPUIP2311301"
2014-12-01,100
2015-01-01,98.6
2015-02-01,99
2015-03-01,99.4
2015-04-01,99.4
2015-05-01,100.4
2015-06-01,100.4
2015-07-01,100.2
2015-08-01,99.5
2015-09-01,98.3
2015-10-01,98.1
2015-11-01,97.8
2015-12-01,96.9
2016-01-01,96.8
2016-02-01,96.4
2016-03-01,96.8
2016-04-01,97.3
2016-05-01,97.9
2016-06-01,98.5
2016-07-01,98.5
2016-08-01,98.4
2016-09-01,98.5
2016-10-01,98.7
2016-11-01,98.5
2016-12-01,98.8
2017-01-01,100
2017-02-01,100.4
2017-03-01,100.5
2017-04-01,101.1
2017-05-01,101
2017-06-01,101.1
2017-07-01,101.1
2017-08-01,101.7
2017-09-01,102.5
2017-10-01,102.5
2017-11-01,103.1
2017-12-01,103.1
2018-01-01,104.5
2018-02-01,105.3
2018-03-01,106.2
2018-04-01,106.8
2018-05-01,108.6
2018-06-01,109.1
2018-07-01,109.2
2018-08-01,109.2
2018-09-01,109.4
2018-10-01,109.9
2018-11-01,108.5
2018-12-01,106.9
2019-01-01,106.5
2019-02-01,107.2
2019-03-01,108.3
2019-04-01,109.4
2019-05-01,109.5
2019-06-01,108.5
2019-07-01,109.1
2019-08-01,108.4
2019-09-01,108
2019-10-01,108.2
2019-11-01,107.8
2019-12-01,107.8
2020-01-01,108.5
2020-02-01,108.2
2020-03-01,106.8
2020-04-01,103
2020-05-01,103.5
2020-06-01,105.3
2020-07-01,106.8
2020-08-01,107.9
2020-09-01,108.7
2020-10-01,108.8
2020-11-01,108.6
2020-12-01,110
2021-01-01,112.9
2021-02-01,115.5
2021-03-01,119
2021-04-01,121
2021-05-01,125.5
2021-06-01,128.5
2021-07-01,128.812
2021-08-01,127.645
2021-09-01,128.015
2021-10-01,129.971
2021-11-01,131.857
2021-12-01,133.041
2022-01-01,138.184
2022-02-01,142.295
2022-03-01,147.056
2022-04-01,147.583
2022-05-01,150.014
2022-06-01,152.053
2022-07-01,149.539
2022-08-01,148.314
2022-09-01,148.075
2022-10-01,148.564
2022-11-01,147.338
2022-12-01,143.619
2023-01-01,145.936
2023-02-01,146.436
2023-03-01,146.588
2023-04-01,146.572
2023-05-01,145.79
2023-06-01,145.731
2023-07-01,146.162
2023-08-01,148.455
2023-09-01,148.959
2023-10-01,146.98
2023-11-01,146.802
