"Date","WPUSI07003"
2001-06-01,100
2001-07-01,98.5
2001-08-01,98.7
2001-09-01,99
2001-10-01,99.1
2001-11-01,99.6
2001-12-01,99.7
2002-01-01,100.8
2002-02-01,100.9
2002-03-01,101.6
2002-04-01,101.8
2002-05-01,101.8
2002-06-01,102.5
2002-07-01,102.7
2002-08-01,102.9
2002-09-01,103.4
2002-10-01,104.4
2002-11-01,104.6
2002-12-01,104.6
2003-01-01,105.9
2003-02-01,106.3
2003-03-01,106.5
2003-04-01,107.1
2003-05-01,107.6
2003-06-01,108
2003-07-01,108.8
2003-08-01,108.8
2003-09-01,109.7
2003-10-01,109.9
2003-11-01,109.9
2003-12-01,110.5
2004-01-01,111.7
2004-02-01,111.6
2004-03-01,111.9
2004-04-01,113.8
2004-05-01,114
2004-06-01,114.2
2004-07-01,114.2
2004-08-01,114.6
2004-09-01,114.8
2004-10-01,114.7
2004-11-01,115.2
2004-12-01,116.1
2005-01-01,117
2005-02-01,117.1
2005-03-01,117.2
2005-04-01,117.8
2005-05-01,119.4
2005-06-01,120.3
2005-07-01,123.4
2005-08-01,123.9
2005-09-01,122.3
2005-10-01,122.4
2005-11-01,123.8
2005-12-01,124
2006-01-01,125.8
2006-02-01,126.7
2006-03-01,127.3
2006-04-01,126.8
2006-05-01,129.1
2006-06-01,128.7
2006-07-01,129.2
2006-08-01,128.8
2006-09-01,128.7
2006-10-01,128.2
2006-11-01,128.3
2006-12-01,129.1
2007-01-01,130.7
2007-02-01,131.4
2007-03-01,132
2007-04-01,132.5
2007-05-01,132.6
2007-06-01,132.8
2007-07-01,133.3
2007-08-01,134.9
2007-09-01,135.3
2007-10-01,135.6
2007-11-01,135.6
2007-12-01,135.8
2008-01-01,138.2
2008-02-01,140.5
2008-03-01,140.9
2008-04-01,142.3
2008-05-01,142.9
2008-06-01,142.8
2008-07-01,143.2
2008-08-01,143.6
2008-09-01,144.5
2008-10-01,144.8
2008-11-01,145.9
2008-12-01,147.5
2009-01-01,148.8
2009-02-01,149.7
2009-03-01,151.2
2009-04-01,151.7
2009-05-01,152
2009-06-01,152.9
2009-07-01,154
2009-08-01,154.4
2009-09-01,154.9
